Timestamp,Voltage-1,Current-1,Power-1,Energy-1,Frequency-1,Powerfactor-1,Voltage-2,Current-2,Power-2,Energy-2,Frequency-2,Powerfactor-2,Voltage-3,Current-3,Power-3,Energy-3,Frequency-3,Powerfactor-3,Voltage-4,Current-4,Power-4,Energy-4,Frequency-4,Powerfactor-4,Voltage-5,Current-5,Power-5,Energy-5,Frequency-5,Powerfactor-5,Voltage-6,Current-6,Power-6,Energy-6,Frequency-6,Powerfactor-6,Voltage-7,Current-7,Power-7,Energy-7,Frequency-7,Powerfactor-7,Voltage-8,Current-8,Power-8,Energy-8,Frequency-8,Powerfactor-8
02-09-2023 16:36:54,215.23,59.03,11120.44,11.12,48,0.875278357723358,209.22,46.34,8691.54,8.69,53,0.8964738604175405,212.19,59.36,10915.13,10.92,53,0.8665831589944241,221.76,51.13,10694.0,10.69,49,0.943151127652637,212.29,53.73,10300.65,10.3,50,0.9030633998559188,216.3,47.97,9457.99,9.46,55,0.9115334528598515,225.89,55.87,11377.82,11.38,48,0.9015365509817951,217.63,47.8,9359.97,9.36,54,0.8997626774985273
02-09-2023 16:36:55,215.77,55.21,10876.74,10.88,54,0.913040074228077,230.37,40.8,8833.66,8.83,52,0.9398409746980725,211.67,41.56,8249.57,8.25,49,0.9377705043919285,209.15,42.19,7547.69,7.55,47,0.8553559862089388,209.65,45.78,8887.2,8.89,54,0.9259640925529209,210.47,45.32,9010.84,9.01,45,0.9446813444738889,220.43,49.44,9357.09,9.36,53,0.8586012401195637,216.73,50.77,9895.16,9.9,46,0.8992835113308861
02-09-2023 16:36:56,230.17,57.91,12396.58,12.4,53,0.9300353520786501,229.81,50.33,10191.2,10.19,46,0.8811083384718217,229.87,41.45,8357.4,8.36,49,0.8771309941453441,214.13,40.91,8073.16,8.07,47,0.9215872885880686,220.43,52.59,10739.41,10.74,52,0.9264170578773311,218.73,48.59,9143.01,9.14,54,0.8602681883952081,213.7,48.51,9670.94,9.67,53,0.9328954151126013,219.69,40.32,8059.69,8.06,50,0.9098876633277977
02-09-2023 16:36:57,212.34,43.53,8076.73,8.08,49,0.8738059808685805,223.65,59.08,11544.4,11.54,49,0.8736989428768346,211.97,43.34,8164.99,8.16,54,0.8887765675782192,229.21,59.31,11936.71,11.94,55,0.8780579888041621,220.73,42.35,8711.36,8.71,53,0.9319036053151115,226.76,42.22,8640.57,8.64,48,0.9025220251738247,224.57,58.62,12396.91,12.4,55,0.9417071320893192,217.76,55.18,10452.66,10.45,55,0.8698952923119527
02-09-2023 16:36:58,214.87,58.16,11674.03,11.67,52,0.9341588834443404,213.7,53.63,10061.66,10.06,45,0.8779252281032972,214.29,50.99,9450.46,9.45,54,0.8649003847282934,227.17,59.07,12023.57,12.02,55,0.896015388885091,213.97,44.75,8552.86,8.55,50,0.8932343700744331,211.17,41.71,7814.58,7.81,53,0.8872234482939767,225.48,41.15,8308.49,8.31,46,0.8954555325701898,211.9,54.45,9919.55,9.92,48,0.8597324882056183
02-09-2023 16:36:58,222.68,43.34,8312.9,8.31,49,0.8613557688172112,213.4,46.16,8822.85,8.82,50,0.8956711920504489,226.92,42.56,8525.03,8.53,45,0.8827171803650167,214.58,54.1,10882.36,10.88,49,0.93742514788008,229.71,45.81,9090.1,9.09,47,0.8638301258351937,220.89,52.59,10233.08,10.23,50,0.8809009310099637,224.44,45.93,9053.96,9.05,48,0.878297674755224,217.34,45.1,8466.57,8.47,52,0.8637569437271728
02-09-2023 16:36:59,229.7,43.32,8556.85,8.56,52,0.859932967545992,213.85,53.37,10711.09,10.71,47,0.938484596242893,214.66,45.88,8586.72,8.59,53,0.8718717925098651,216.42,47.23,9060.8,9.06,50,0.8864435394372173,215.87,40.59,8241.15,8.24,49,0.9405382735251924,211.79,40.73,7435.74,7.44,54,0.8619937346193144,224.31,58.37,11248.91,11.25,49,0.8591559637940235,210.8,46.52,8778.06,8.78,45,0.8951348624338519
02-09-2023 16:37:00,211.64,57.77,10810.46,10.81,52,0.8841872096201739,221.68,56.61,11649.89,11.65,45,0.9283297562291707,215.55,56.54,10563.33,10.56,51,0.8667565722137104,219.0,53.57,10203.13,10.2,48,0.8696962987784507,224.63,44.69,9171.56,9.17,49,0.9136184783170788,214.95,49.7,9706.31,9.71,45,0.9085743482198053,218.1,43.01,8484.28,8.48,55,0.9044614895351221,221.41,48.61,10046.31,10.05,50,0.9334339065339543
02-09-2023 16:37:01,226.77,40.91,8326.5,8.33,52,0.8975264602979264,216.08,40.6,7874.05,7.87,52,0.897548223612308,218.38,42.15,8281.95,8.28,52,0.8997508027282312,216.45,57.6,11681.17,11.68,47,0.9369285051116895,227.58,49.82,10298.92,10.3,54,0.9083517664797303,213.46,58.25,11465.97,11.47,51,0.922143208871117,214.73,47.32,9480.35,9.48,54,0.9330115172217458,228.5,51.42,10225.58,10.23,54,0.87030121205146
02-09-2023 16:37:02,210.91,51.79,9966.24,9.97,51,0.9124064733245643,220.22,46.91,9116.28,9.12,46,0.8824608931633671,224.93,59.99,12695.45,12.7,47,0.9408531975595599,215.32,54.5,10969.4,10.97,54,0.9347640184532782,214.87,56.26,10619.9,10.62,50,0.8785067753305459,228.01,58.27,11836.83,11.84,55,0.890915794871878,211.71,42.81,8183.9,8.18,51,0.9029706023995674,219.92,49.25,9336.78,9.34,50,0.8620373789763485
